file,line,column,type,code,message,docs,severity,link
plugin-update-checker/Puc/v5p5/Vcs/GitHubApi.php,43,90,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$repositoryUrl'.",https://developer.wordpress.org/apis/security/escaping/,5,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fplugin-update-checker%2FPuc%2Fv5p5%2FVcs%2FGitHubApi.php&line=43
plugin-update-checker/Puc/v5p5/Vcs/GitHubApi.php,257,42,WARNING,WordPress.NamingConventions.PrefixAllGlobals.DynamicHooknameFound,Hook names invoked by a theme/plugin should start with the theme/plugin prefix. Found: &quot;$this-&gt;httpFilterName&quot;.,,6,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fplugin-update-checker%2FPuc%2Fv5p5%2FVcs%2FGitHubApi.php&line=257
plugin-update-checker/Puc/v5p5/Vcs/GitHubApi.php,261,27,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedHooknameFound,Hook names invoked by a theme/plugin should start with the theme/plugin prefix. Found: &quot;puc_api_error&quot;.,,6,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fplugin-update-checker%2FPuc%2Fv5p5%2FVcs%2FGitHubApi.php&line=261
plugin-update-checker/Puc/v5p5/Vcs/GitHubApi.php,276,23,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedHooknameFound,Hook names invoked by a theme/plugin should start with the theme/plugin prefix. Found: &quot;puc_api_error&quot;.,,6,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fplugin-update-checker%2FPuc%2Fv5p5%2FVcs%2FGitHubApi.php&line=276
plugin-update-checker/Puc/v5p5/PucFactory.php,89,21,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found 'htmlentities'.",https://developer.wordpress.org/apis/security/escaping/,5,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fplugin-update-checker%2FPuc%2Fv5p5%2FPucFactory.php&line=89
plugin-update-checker/Puc/v5p5/PucFactory.php,231,39,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedHooknameFound,Hook names invoked by a theme/plugin should start with the theme/plugin prefix. Found: &quot;puc_get_source_uri&quot;.,,6,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fplugin-update-checker%2FPuc%2Fv5p5%2FPucFactory.php&line=231
plugin-update-checker/Puc/v5p5/PucFactory.php,242,67,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found 'htmlentities'.",https://developer.wordpress.org/apis/security/escaping/,5,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fplugin-update-checker%2FPuc%2Fv5p5%2FPucFactory.php&line=242
plugin-update-checker/Puc/v5p5/PucFactory.php,276,34,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedHooknameFound,Hook names invoked by a theme/plugin should start with the theme/plugin prefix. Found: &quot;puc_get_vcs_service&quot;.,,6,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fplugin-update-checker%2FPuc%2Fv5p5%2FPucFactory.php&line=276
plugin-update-checker/plugin-update-checker.php,0,0,ERROR,plugin_updater_detected,Plugin Updater detected. These are not permitted in WordPress.org hosted plugins. Detected: plugin-update-checker.php,https://developer.wordpress.org/plugins/wordpress-org/common-issues/#update-checker,9,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fplugin-update-checker%2Fplugin-update-checker.php
plugin-update-checker/plugin-update-checker.php,0,0,ERROR,missing_direct_file_access_protection,PHP file should prevent direct access. Add a check like: if ( ! defined( 'ABSPATH' ) ) exit;,https://developer.wordpress.org/plugins/wordpress-org/common-issues/#direct-file-access,6,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fplugin-update-checker%2Fplugin-update-checker.php
includes/class-bp-redirect-i18n.php,36,3,ERROR,PluginCheck.CodeAnalysis.DiscouragedFunctions.load_plugin_textdomainFound,"load_plugin_textdomain() has been discouraged since WordPress version 4.6. When your plugin is hosted on WordPress.org, you no longer need to manually include this function call for translations under your plugin slug. WordPress will automatically load the translations for you as needed.",https://make.wordpress.org/core/2016/07/06/i18n-improvements-in-4-6/,7,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fincludes%2Fclass-bp-redirect-i18n.php&line=36
readme.txt,0,0,ERROR,outdated_tested_upto_header,"Tested up to: 6.5 < 6.9. The ""Tested up to"" value in your plugin is not set to the current version of WordPress. This means your plugin will not show up in searches, as we require plugins to be compatible and documented as tested up to the most recent version of WordPress.",https://developer.wordpress.org/plugins/wordpress-org/how-your-readme-txt-works/#readme-header-information,7,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Freadme.txt
readme.txt,0,0,WARNING,readme_parser_warnings_no_short_description_present,The "Short Description" section is missing. An excerpt was generated from your main plugin description.,,5,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Freadme.txt
admin/wbcom/class-wbcom-admin-settings.php,140,17,WARNING,WordPress.WP.EnqueuedResourceParameters.MissingVersion,Resource version not set in call to wp_enqueue_style(). This means new versions of the style may not always be loaded due to browser caching.,,5,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fadmin%2Fwbcom%2Fclass-wbcom-admin-settings.php&line=140
admin/wbcom/class-wbcom-admin-settings.php,140,39,ERROR,PluginCheck.CodeAnalysis.EnqueuedResourceOffloading.OffloadedContent,Found call to wp_enqueue_style() with external resource. Offloading styles to your servers or any remote service is disallowed.,,5,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fadmin%2Fwbcom%2Fclass-wbcom-admin-settings.php&line=140
admin/wbcom/class-wbcom-admin-settings.php,175,21,WARNING,WordPress.WP.EnqueuedResourceParameters.MissingVersion,Resource version not set in call to wp_register_style(). This means new versions of the style may not always be loaded due to browser caching.,,5,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fadmin%2Fwbcom%2Fclass-wbcom-admin-settings.php&line=175
admin/wbcom/class-wbcom-admin-settings.php,300,5,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedFunctionFound,Functions declared in the global namespace by a theme/plugin should start with the theme/plugin prefix. Found: &quot;instantiate_wbcom_plugin_manager&quot;.,,6,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fadmin%2Fwbcom%2Fclass-wbcom-admin-settings.php&line=300
plugin-update-checker/Puc/v5p5/UpdateChecker.php,0,0,ERROR,missing_direct_file_access_protection,PHP file should prevent direct access. Add a check like: if ( ! defined( 'ABSPATH' ) ) exit;,https://developer.wordpress.org/plugins/wordpress-org/common-issues/#direct-file-access,6,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fplugin-update-checker%2FPuc%2Fv5p5%2FUpdateChecker.php
